Data,Moto,Tipo,Categoria,Valor,Observação,Ano,Mes,Periodo
2026-01-20,3 - Factor vermelha SGE,Saída,Seguro,98.0,,2026,1,2026-01
2026-01-20,4 - Factor preta SOC,Saída,Seguro,98.0,,2026,1,2026-01
2026-01-20,5 - Yamaha Factor Azul - SOK,Saída,Seguro,98.0,,2026,1,2026-01
2026-01-20,6 - Fazer 150 Vermelha SOO,Saída,Seguro,98.0,,2026,1,2026-01
2026-01-20,7 - Fazer 150 Preta SNO,Saída,Seguro,98.0,,2026,1,2026-01
2026-01-20,8 - Fazer 150 Preta SNP,Saída,Seguro,98.0,,2026,1,2026-01
2026-01-20,9 - Fazer 150 Preta SNT,Saída,Seguro,98.0,,2026,1,2026-01
2026-01-20,10 - Fazer 150 Preta SOD,Saída,Seguro,98.0,,2026,1,2026-01
2026-01-21,12 - Factor 2025 TOV,Saída,Seguro,150.0,Adesão Seguro,2026,1,2026-01
2026-01-21,12 - Factor 2025 TOV,Saída,IPVA,247.0,,2026,1,2026-01
2026-01-21,12 - Factor 2025 TOV,Saída,Outros,160.0,Vistoria Polícia Civil,2026,1,2026-01
2026-01-21,3 - Factor vermelha SGE,Entrada,Aluguel,250.0,,2026,1,2026-01
2026-01-21,6 - Fazer 150 Vermelha SOO,Entrada,Aluguel,250.0,,2026,1,2026-01
2026-01-21,9 - Fazer 150 Preta SNT,Entrada,Aluguel,250.0,,2026,1,2026-01
2026-01-22,8 - Fazer 150 Preta SNP,Entrada,Aluguel,250.0,,2026,1,2026-01
2026-01-22,10 - Fazer 150 Preta SOD,Entrada,Aluguel,250.0,,2026,1,2026-01
2026-01-23,5 - Yamaha Factor Azul - SOK,Entrada,Aluguel,250.0,,2026,1,2026-01
2026-01-24,4 - Factor preta SOC,Entrada,Caução,500.0,,2026,1,2026-01
2026-01-24,4 - Factor preta SOC,Entrada,Aluguel,500.0,,2026,1,2026-01
2026-01-24,11 - Factor 2025 SOZ,Entrada,Caução,500.0,,2026,1,2026-01
2026-01-24,11 - Factor 2025 SOZ,Entrada,Aluguel,250.0,,2026,1,2026-01
2026-01-26,7 - Fazer 150 Preta SNO,Entrada,Aluguel,250.0,,2026,1,2026-01
2026-01-27,12 - Factor 2025 TOV,Saída,Outros,71.95,Vistoria  Detran,2026,1,2026-01
